university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺灣師範大學,華語文教學系應用華語文學組,108,2,2,NULL,NULL,NULL,NULL,NULL,1,1,NULL,81.0833,84.968
國立交通大學,材料科學與工程學系乙組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.4,84.948
國立政治大學,社會學系,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,1,83.1418,84.9262
國立臺灣大學,農業化學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,78.05,84.9248
國立臺灣大學,戲劇學系(男),108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.0417,84.9226
國立政治大學,政治學系,108,1.5,1.5,NULL,1.25,NULL,NULL,NULL,NULL,NULL,1,83.0343,84.8968
國立政治大學,英國語文學系,108,1.5,2,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9692,84.8901
國立政治大學,歐洲語文學系法文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9717,84.8763
國立清華大學,物理學系物理組(天文物理組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.24,84.8641
國立清華大學,藝術學院學士班,108,1.25,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,83.4118,84.8443
國立成功大學,資訊工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.18,84.8326
國立政治大學,日本語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9,84.8297
國立交通大學,電子物理學系光電奈米科學組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.15,84.8168
國立臺北大學,歷史學系,108,1.25,1.25,NULL,NULL,NULL,NULL,NULL,1.5,1,1,79.6267,84.8166
國立政治大學,歷史學系,108,1,1,NULL,1,NULL,NULL,NULL,1.5,1,NULL,79.5273,84.8102
國立臺灣師範大學,音樂學系,108,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,82.205,84.7955
國立臺灣大學,生物機電工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.08,84.7801
國立成功大學,全校不分系學士學位學程,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.07,84.7749
國立清華大學,動力機械工程學系乙組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.05,84.7644
國立臺灣師範大學,企業管理學系,108,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,83.1818,84.7604
國立交通大學,光電工程學系,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,78.1892,84.7547
國立交通大學,奈米科學及工程學士學位學程,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.02,84.7486
國立臺灣大學,心理學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,80.49,84.744
國立臺北大學,法律學系法學組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,81.3833,84.7308
國立臺灣師範大學,國文學系,108,2,1.5,NULL,NULL,NULL,NULL,NULL,1,1,NULL,80.7873,84.7305
國立政治大學,傳播學院不分系社會組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,81.3667,84.7189
國立清華大學,竹師教育學院(雙專長組),108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,82.84,84.7108
國立清華大學,外國語文學系,108,1,2,NULL,1,NULL,NULL,NULL,1,1,NULL,80.1333,84.7095
國立臺北大學,應用外語學系,108,1.5,2,NULL,NULL,NULL,NULL,NULL,1,1,NULL,80.2,84.6995
國立臺灣大學,土木工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.92,84.6881
國立政治大學,韓國語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.675,84.6837
國立臺北大學,會計學系,108,1,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,82.6444,84.6445
國立中央大學,英美語文學系,108,1.5,2,NULL,NULL,NULL,NULL,NULL,1.25,1,NULL,79.7043,84.5974
國立清華大學,物理學系物理組(甲組一般組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.716,84.5604
國立政治大學,地政學系土地資源規劃組,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,80.6615,84.5369
國立臺北大學,統計學系,108,1,1.25,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,82.8933,84.519
國立清華大學,化學工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.62,84.5004
國立交通大學,電子物理學系電子物理組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.506,84.429
國立中央大學,資訊工程學系,108,1,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,78.175,84.4147
國立成功大學,法律學系,108,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,80.44,84.4025
國立中央大學,生醫科學與工程學系,108,NULL,1,NULL,NULL,1.25,1.25,NULL,NULL,NULL,NULL,77.8229,84.3689
國立臺灣大學,動物科學技術學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,76.88,84.327
國立清華大學,物理學系光電物理組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.33,84.3189
國立交通大學,外國語文學系,108,1.5,2,NULL,1,NULL,NULL,NULL,1,1,NULL,80.0308,84.2922
國立清華大學,數學系甲組(數學組),108,1,1.5,2,NULL,1.5,1,NULL,NULL,NULL,NULL,76.6357,84.2603
國立臺灣師範大學,英語學系,108,1.5,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,82.3111,84.2554
國立中興大學,法律學系,108,1.5,1,NULL,1,NULL,NULL,NULL,1,NULL,1.5,80.6917,84.2281
國立清華大學,理學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.16,84.2125
國立臺灣大學,大氣科學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.16,84.2125
國立清華大學,竹師教育學院(永續發展組),108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,82.1,84.1786
國立清華大學,工程與系統系(智慧奈米組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.09,84.1687
國立成功大學,都市計劃學系(社會組),108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,80.0585,84.1629
國立臺北大學,財政學系,108,1.25,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,79.7328,84.1443
國立成功大學,歷史學系,108,1.25,1.25,NULL,NULL,NULL,NULL,NULL,1.5,1,NULL,78.322,84.1382
國立交通大學,理學院科學學士學位學程甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.01,84.1186
國立清華大學,藝術與設計學系設計組,108,1.5,1,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,79.1625,84.0937
國立中興大學,會計學系,108,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,79.4857,84.0841
國立政治大學,哲學系,108,1.25,1.25,NULL,1.25,NULL,NULL,NULL,1,NULL,1,80.2748,84.0799
國立政治大學,東南亞語言文化學士學位學程,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,79.705,84.0754
國立嘉義大學,獸醫學系,108,1,1.25,1,NULL,NULL,1.25,1.25,NULL,NULL,NULL,79.4104,84.0494
國立中興大學,企業管理學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,81.88,84.025
國立臺北大學,經濟學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,82.0625,84.0211
國立臺灣大學,生物環境系統工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.84,84.0204
國立陽明大學,醫學生物技術暨檢驗學系,108,NULL,1.25,1,NULL,1,1.25,1.25,NULL,NULL,NULL,76.7791,84.012
國立中興大學,行銷學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,81.86,84.0114
國立政治大學,斯拉夫語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,79.5883,84.0081
國立中正大學,財經法律學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,80.275,84.0031
國立政治大學,阿拉伯語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1.25,1,NULL,79.1888,83.9847
國立臺灣師範大學,教育學院學士班,108,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,81.75,83.9709
國立中央大學,法國語文學系,108,1.5,2,NULL,NULL,NULL,NULL,NULL,1.25,1,1,78.9259,83.9672
國立清華大學,數學系乙組(應用數學組),108,1,1.5,2,NULL,1.5,1,NULL,NULL,NULL,NULL,76.0714,83.9627
國立臺灣大學,地質科學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.72,83.9515
國立臺灣師範大學,臺灣語文學系,108,1.5,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1.5,79.2538,83.9285
國立臺南大學,英語學系(公費)-臺南市,108,1.5,2,NULL,1.5,NULL,NULL,NULL,1,1,NULL,79.5714,83.92
國立臺北大學,企業管理學系,108,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,82,83.9152
國立中山大學,資訊工程學系乙組,108,NULL,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,71.02,83.9133
國立交通大學,傳播與科技學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,79.3917,83.8947
國立清華大學,教育心理與諮商學系,108,1.5,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,81.9,83.8899
國立臺灣大學,護理學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,78.99,83.8669
國立成功大學,材料科學及工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.55,83.8539
國立中山大學,資訊管理學系(社會組),108,1.5,2,NULL,2,NULL,NULL,NULL,NULL,1,NULL,81,83.844
