university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average
亞洲大學,室內設計學系(住宅空間組),108,NULL,NULL,NULL,2,NULL,NULL,NULL,2,1.5,NULL,67.3091
亞洲大學,室內設計學系(商業空間組),108,NULL,NULL,NULL,1,NULL,NULL,NULL,2,2,NULL,63.92
亞洲大學,幼兒教育學系,108,2,1,NULL,NULL,NULL,NULL,NULL,1,NULL,2,62.0333
亞洲大學,心理學系(工商與社會心理組),108,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,63.0167
亞洲大學,心理學系(心理師研修組),108,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.9
亞洲大學,心理學系(諮商與臨床心理組),108,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,64.05
亞洲大學,數位媒體設計學系,108,1,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,63.04
亞洲大學,時尚設計系(時尚服裝設計組),108,1.5,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,63.7818
亞洲大學,時尚設計系(服飾創意設計組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,1.5,2,NULL,59.9
亞洲大學,會計與資訊學系(管理應用組),108,2,1,NULL,1,NULL,NULL,NULL,NULL,2,NULL,57.0833
亞洲大學,會計與資訊學系(財稅應用組),108,2,1,NULL,1,NULL,NULL,NULL,NULL,2,NULL,57.5917
亞洲大學,物理治療學系,108,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,67.7125
亞洲大學,生物科技學系(醫藥應用組),108,1,2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,62.1
亞洲大學,生物科技系(農業生技管理組),108,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,64.62
亞洲大學,生資醫學工程系(生醫資訊組),108,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2,69.24
亞洲大學,生資醫學工程系(醫學工程組),108,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2,73.24
亞洲大學,社工系(心理與家庭社工組),108,1,1,NULL,1,NULL,NULL,NULL,2,NULL,NULL,57.67
亞洲大學,社工系(醫務與長照社工組),108,1,1,NULL,1,NULL,NULL,NULL,NULL,2,NULL,57.57
亞洲大學,經營管理學系(行銷管理組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,2,1,2,64.4
亞洲大學,經營管理系(企業創新管理組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,2,63.6571
亞洲大學,經營管理系(國際企業管理組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,2,1,2,63.8286
亞洲大學,職能治療學系,108,1,2,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,77.075
亞洲大學,聽力暨語言治療學系,108,1,2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,76.18
亞洲大學,行動商務多媒體系(商務組),108,2,NULL,NULL,1,NULL,NULL,NULL,2,2,NULL,58
亞洲大學,行動商務多媒體系(多媒體組),108,2,NULL,NULL,1,NULL,NULL,NULL,2,2,NULL,57.6286
亞洲大學,視光學系,108,1,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,68.8125
亞洲大學,視覺傳達設計學系,108,1,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,61.88
