Column1	Column2	Column3	欄1
國立高雄師範大學	英語學系	108	1.25
國立中正大學	心理學系	108	1
臺北市立大學	英語教學系	108	1.25
國立中央大學	大氣科學學系大氣組	108	1
國立臺灣海洋大學	航運管理學系	108	1
國立中山大學	劇場藝術學系(女)	108	2
國立臺灣海洋大學	運輸科學系A組	108	1
輔仁大學	金融與國際企業學系	108	1.5
國立中興大學	生命科學系	108	1
國立臺灣師範大學	地球科學系	108	NULL
國立中興大學	應用數學系數據科學與計算組	108	1
國立彰化師範大學	國文學系	108	2
國立中山大學	資訊管理學系(自然組)	108	1.5
國立中興大學	環境工程學系	108	1
國立高雄大學	東亞語文學系越語組	108	2
國立高雄師範大學	國文學系	108	1.5
國立中正大學	化學暨生物化學系	108	1
國立嘉義大學	資訊管理學系(社會組)	108	1
國立中央大學	地球科學學系	108	1
中原大學	室內設計學系	108	2
慈濟大學	物理治療學系	108	NULL
國立中興大學	應用數學系應用數學組	108	1
國立中正大學	資訊管理學系	108	1
國立中興大學	植物病理學系	108	1
國立屏東大學	國際貿易學系	108	1
國立中正大學	數學系	108	NULL
國立臺灣師範大學	美術學系西畫組	108	1
國立中央大學	地球科學學院學士班	108	1
國立臺灣師範大學	設計學系產品設計組	108	1
國立高雄大學	資訊工程學系	108	
輔仁大學	廣告傳播學系	108	1.5
亞洲大學	聽力暨語言治療學系	108	1
國立高雄大學	應用經濟學系	108	1.5
國立中山大學	海洋環境及工程學系	108	NULL
國立彰化師範大學	特殊教育學系	108	1.5
國立中興大學	應用經濟學系	108	1
國立臺北教育大學	藝術與造形設計學系設計組	108	1.25
國立屏東大學	行銷與流通管理學系	108	1
國立中興大學	國際農企業學士學位學程	108	1
輔仁大學	職能治療學系	108	1.25
國立臺北教育大學	特殊教育學系(女)	108	1.5
國立臺灣海洋大學	光電與材料科技學系	108	1
國立臺中教育大學	英語學系	108	1
國立高雄大學	化學工程及材料工程學系	108	1
國立臺北教育大學	音樂學系-鋼琴	108	1
國立臺北教育大學	語文與創作學系語文師資組	108	2
東吳大學	日本語文學系	108	1.5
國立高雄師範大學	事業經營學系	108	1.5
國立臺灣師範大學	健康促進與衛生教育學系	108	1
中山醫學大學	醫學檢驗暨生物技術學系	108	1
中國醫藥大學	營養學系	108	1
國立嘉義大學	財務金融學系	108	1.5
國立中興大學	農藝學系	108	1
國立中正大學	機械工程學系	108	1
國立屏東大學	不動產經營學系	108	1.5
長庚大學	生物醫學系	108	NULL
國立中正大學	生物醫學科學系	108	1
國立臺南大學	行政管理學系	108	1.5
亞洲大學	財經法律學系(財經法律組)	108	2
國立嘉義大學	應用經濟學系	108	1
高雄醫學大學	醫藥暨應用化學系醫藥化學組	108	NULL
中山醫學大學	語言治療與聽力系語言治療組	108	1.5
國立臺灣海洋大學	海洋觀光管理學士學位學程	108	1.5
國立中山大學	生物科學系	108	1
國立中山大學	海洋科學系	108	1
國立東華大學	族群關係與文化學系	108	2
國立臺灣體育運動大學	運動資訊與傳播學系(傳播組)	108	2
東吳大學	政治學系	108	1.5
國立彰化師範大學	電機工程學系	108	1
國立臺中教育大學	幼兒教育學系	108	1.5
國立臺灣海洋大學	資訊工程學系	108	
國立臺中教育大學	國際企業學系	108	1.25
國立高雄大學	電機工程學系	108	1
馬偕醫學院	聽力暨語言治療學系聽力組	108	1
國立中興大學	土木工程學系	108	1
臺北市立大學	應用物理暨化學系電子物理組	108	1.25
國立臺灣海洋大學	機械與機電工程學系	108	1
國立屏東大學	資訊管理學系	108	1
國立臺灣藝術大學	戲劇學系(男)	108	2
高雄醫學大學	醫藥暨應用化學系應用化學組	108	NULL
國立臺南大學	文化與自然資源學系	108	1
世新大學	廣播電視電影學系電影組	108	2
國立彰化師範大學	化學系	108	1
國立高雄大學	應用化學系	108	NULL
臺北市立大學	教育學系	108	2
國立嘉義大學	景觀學系(社會組)	108	2
國立臺灣海洋大學	海洋經營管理學士學位學程	108	1
輔仁大學	日本語文學系	108	1.5
國立中正大學	地球與環境科學系	108	1
國立屏東大學	社會發展學系	108	1
輔仁大學	影像傳播學系	108	2
國立屏東大學	商業自動化與管理學系	108	1
中原大學	財經法律學系	108	1.5
國立臺灣海洋大學	海洋法政學士學位學程	108	2
輔仁大學	景觀設計學系(社會組)	108	1
世新大學	廣播電視電影學系電視組	108	2
國立臺南大學	電機工程學系	108	1
國立臺北教育大學	特殊教育學系(男)	108	1.5
國立屏東大學	企業管理學系	108	1
臺北市立大學	中國語文學系	108	2
中原大學	電機工程學系	108	NULL
國立彰化師範大學	資訊工程學系	108	
國立高雄師範大學	光電與通訊工程學系	108	1
中山醫學大學	醫學影像暨放射科學系	108	NULL
國立臺灣海洋大學	輪機工程學系動力工程組	108	1
國立中興大學	水土保持學系	108	1
國立高雄師範大學	特殊教育學系	108	1.25
國立嘉義大學	企業管理學系	108	2
輔仁大學	呼吸治療學系	108	1
臺北市立大學	學習與媒材設計學系	108	2
國立臺中教育大學	語文教育學系	108	2
世新大學	廣播電視電影學系廣播組	108	2
國立彰化師範大學	資訊管理系數位科技與管理組	108	1
東吳大學	歷史學系	108	2
東吳大學	企業管理學系	108	1
長庚大學	護理學系	108	1
元智大學	電機工程學系(甲組)	108	NULL
臺北市立大學	應用物理暨化學系應用化學組	108	1.25
國立臺北教育大學	藝術與造形設計學系藝術組	108	1.5
東吳大學	資訊管理學系	108	1
國立嘉義大學	輔導與諮商學系	108	1.5
高雄醫學大學	心理學系	108	2
國立嘉義大學	數位學習設計管理系(社會組)	108	1.5
國立臺南大學	英語學系(自費)	108	1.25
國立中興大學	園藝學系	108	1
國立臺灣海洋大學	通訊與導航工程學系	108	1
亞洲大學	室內設計學系(住宅空間組)	108	NULL
東吳大學	巨量資料管理學院學位學程	108	1.5
