university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺北大學,法律學系法學組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,81.3833,84.1081
國立政治大學,傳播學院不分系社會組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,81.3667,84.0964
國立政治大學,韓國語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.675,84.0614
國立臺灣大學,生物環境系統工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.84,84.0204
國立成功大學,會計學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,85.48,84.0083
國立政治大學,公共行政學系,108,1,1.5,NULL,1.25,NULL,NULL,NULL,NULL,NULL,1.25,83.32,83.9711
國立臺灣大學,地質科學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.72,83.9515
國立政治大學,地政學系土地資源規劃組,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,80.6615,83.9157
國立政治大學,英國語文學系,108,1.5,2,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9692,83.8714
國立臺灣大學,護理學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,78.99,83.8669
國立成功大學,材料科學及工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.55,83.8539
國立清華大學,工程與系統系(低碳綠能組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.52,83.8366
國立清華大學,生命科學院學士班,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,75.74,83.8163
國立政治大學,哲學系,108,1.25,1.25,NULL,1.25,NULL,NULL,NULL,1,NULL,1,80.2748,83.771
國立臺北大學,金融與合作經營學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,85.14,83.7604
國立嘉義大學,獸醫學系,108,1,1.25,1,NULL,NULL,1.25,1.25,NULL,NULL,NULL,79.4104,83.7405
國立陽明大學,醫學生物技術暨檢驗學系,108,NULL,1.25,1,NULL,1,1.25,1.25,NULL,NULL,NULL,76.7791,83.7033
國立清華大學,外國語文學系,108,1,2,NULL,1,NULL,NULL,NULL,1,1,NULL,80.1333,83.693
國立清華大學,原子科學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.22,83.6643
國立清華大學,計量財務金融學系甲組,108,1,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.745,83.6379
國立中興大學,法律學系,108,1.5,1,NULL,1,NULL,NULL,NULL,1,NULL,1.5,80.6917,83.6091
國立成功大學,企業管理學系,108,1,1.25,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,83.5169,83.598
國立交通大學,機械工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.08,83.5839
